ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24 
305.53,1760.0,,54.0,76.0,105.0,131.0,157.0,146.0,128.0,128.0,108.0,103.0,113.0,87.0,87.0,76.0,56.0,57.0,27.0,34.0,21.0,19.0,14.0,15.0,9.0,9.0
305.60,15115.0,65.0,667.0,1238.0,1841.0,1981.0,1690.0,1352.0,1162.0,941.0,779.0,638.0,553.0,474.0,368.0,277.0,248.0,188.0,156.0,118.0,106.0,66.0,73.0,53.0,51.0,30.0
305.61,1010.0,12.0,130.0,122.0,130.0,117.0,106.0,79.0,54.0,56.0,39.0,34.0,15.0,25.0,17.0,21.0,13.0,10.0,4.0,10.0,2.0,4.0,4.0,2.0,,4.0
305.62,355.0,1.0,14.0,46.0,65.0,47.0,38.0,21.0,19.0,20.0,16.0,12.0,17.0,9.0,5.0,3.0,4.0,7.0,,4.0,2.0,1.0,2.0,2.0,,
305.63,2534.0,,41.0,64.0,122.0,181.0,187.0,188.0,191.0,179.0,201.0,165.0,151.0,142.0,120.0,111.0,101.0,86.0,80.0,55.0,50.0,39.0,22.0,20.0,17.0,21.0
305.70,45552.0,401.0,3511.0,6039.0,6257.0,5349.0,4484.0,3760.0,2960.0,2446.0,2011.0,1654.0,1286.0,1110.0,893.0,692.0,557.0,494.0,389.0,319.0,273.0,198.0,142.0,148.0,103.0,76.0
305.71,3818.0,60.0,789.0,573.0,482.0,446.0,331.0,255.0,176.0,127.0,110.0,94.0,62.0,73.0,45.0,40.0,35.0,25.0,22.0,18.0,15.0,10.0,8.0,7.0,8.0,7.0
305.72,876.0,11.0,51.0,159.0,150.0,135.0,62.0,60.0,48.0,32.0,31.0,19.0,27.0,28.0,17.0,13.0,8.0,6.0,6.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0
305.73,4759.0,,106.0,253.0,346.0,413.0,385.0,394.0,355.0,360.0,295.0,309.0,256.0,225.0,216.0,163.0,131.0,109.0,98.0,91.0,61.0,50.0,48.0,35.0,38.0,22.0
305.80,82.0,,5.0,11.0,8.0,9.0,3.0,4.0,7.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,
305.81,17.0,,,1.0,2.0,3.0,,1.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,
305.82,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
305.83,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
305.90,22882.0,154.0,1752.0,2456.0,2461.0,2394.0,2223.0,1798.0,1690.0,1410.0,1214.0,1000.0,787.0,691.0,584.0,441.0,370.0,265.0,253.0,215.0,169.0,191.0,95.0,102.0,89.0,78.0
305.91,1107.0,7.0,325.0,160.0,105.0,106.0,80.0,58.0,62.0,48.0,34.0,18.0,16.0,15.0,10.0,15.0,9.0,10.0,5.0,3.0,7.0,4.0,5.0,1.0,2.0,2.0
305.92,115.0,,15.0,25.0,16.0,5.0,12.0,8.0,8.0,8.0,6.0,1.0,3.0,1.0,2.0,1.0,,1.0,2.0,,,,,1.0,,
305.93,2838.0,,75.0,168.0,210.0,197.0,203.0,240.0,221.0,208.0,170.0,194.0,163.0,144.0,118.0,84.0,91.0,78.0,69.0,69.0,27.0,34.0,27.0,23.0,14.0,11.0
306.0,72.0,31.0,3.0,2.0,8.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,,1.0,,1.0,,1.0,,,,
306.1,147.0,17.0,5.0,10.0,9.0,15.0,10.0,11.0,14.0,7.0,6.0,8.0,2.0,7.0,6.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,,
306.2,42.0,12.0,,5.0,1.0,4.0,1.0,3.0,5.0,2.0,3.0,1.0,,,2.0,,,,1.0,1.0,,,,,1.0,
306.3,16.0,,,,,2.0,,2.0,1.0,2.0,,1.0,3.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,
306.4,179.0,31.0,10.0,13.0,14.0,11.0,6.0,9.0,15.0,4.0,12.0,3.0,11.0,5.0,8.0,2.0,2.0,6.0,4.0,4.0,2.0,,3.0,2.0,1.0,1.0
306.50,4.0,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,
306.51,10.0,,,1.0,2.0,1.0,,2.0,2.0,,,,,,1.0,,,,1.0,,,,,,,
306.53,5.0,,,,1.0,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,
306.59,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
306.6,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
306.7,3.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
306.8,138.0,14.0,7.0,11.0,15.0,7.0,7.0,6.0,11.0,6.0,12.0,4.0,3.0,7.0,4.0,4.0,3.0,5.0,2.0,1.0,2.0,,5.0,1.0,1.0,
306.9,206.0,22.0,12.0,14.0,16.0,17.0,10.0,14.0,22.0,8.0,6.0,12.0,10.0,8.0,8.0,8.0,5.0,3.0,3.0,,3.0,1.0,2.0,,2.0,
307.0,48.0,7.0,3.0,,3.0,1.0,2.0,6.0,7.0,2.0,5.0,1.0,1.0,3.0,1.0,,2.0,1.0,2.0,,,1.0,,,,
307.1,1354.0,572.0,348.0,199.0,96.0,48.0,37.0,18.0,9.0,8.0,4.0,5.0,2.0,1.0,3.0,2.0,,1.0,,,,,,1.0,,
307.20,203.0,23.0,19.0,21.0,20.0,11.0,22.0,15.0,9.0,9.0,8.0,7.0,11.0,9.0,5.0,3.0,1.0,3.0,2.0,3.0,,1.0,,1.0,,
307.21,12.0,2.0,,3.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,
307.22,41.0,3.0,1.0,4.0,3.0,7.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,,,1.0,,,,,1.0,
307.23,582.0,9.0,146.0,99.0,71.0,50.0,45.0,30.0,36.0,22.0,15.0,8.0,12.0,5.0,8.0,5.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0
307.3,46.0,7.0,5.0,1.0,7.0,4.0,5.0,,4.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,
307.40,16.0,,2.0,2.0,,1.0,2.0,,,,,,2.0,1.0,2.0,,1.0,1.0,,,2.0,,,,,
307.41,24.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,,3.0,3.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,
307.42,454.0,2.0,29.0,63.0,44.0,28.0,31.0,20.0,21.0,24.0,26.0,28.0,20.0,11.0,22.0,12.0,15.0,10.0,5.0,9.0,7.0,10.0,7.0,5.0,3.0,2.0
307.43,6.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,
307.44,12.0,,2.0,1.0,1.0,,1.0,,1.0,,,2.0,,,1.0,,,,,2.0,,,,,,1.0
307.45,26.0,,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,,,,3.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0
307.46,134.0,7.0,11.0,10.0,12.0,9.0,9.0,11.0,10.0,2.0,12.0,5.0,6.0,3.0,5.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,,
307.47,377.0,1.0,5.0,18.0,30.0,33.0,37.0,34.0,33.0,33.0,19.0,24.0,22.0,22.0,13.0,12.0,11.0,3.0,8.0,5.0,5.0,2.0,2.0,3.0,1.0,1.0
307.48,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
307.49,16.0,,2.0,,3.0,,1.0,1.0,1.0,,,,1.0,1.0,,2.0,,,,,2.0,1.0,,1.0,,
307.50,1536.0,50.0,386.0,340.0,226.0,130.0,103.0,71.0,39.0,38.0,24.0,19.0,20.0,15.0,6.0,16.0,11.0,8.0,8.0,5.0,4.0,6.0,5.0,1.0,3.0,2.0
307.51,726.0,169.0,302.0,142.0,40.0,28.0,15.0,2.0,6.0,7.0,4.0,3.0,4.0,1.0,1.0,,,,,1.0,,,,,,1.0
307.52,135.0,1.0,22.0,13.0,17.0,20.0,12.0,8.0,7.0,5.0,4.0,3.0,6.0,5.0,3.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,2.0
307.53,17.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,,,,,,1.0,,,,,,,,1.0,,,
307.54,34.0,7.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,,2.0,2.0,,1.0,,,,,1.0,,,,,1.0,,
307.59,605.0,46.0,65.0,88.0,67.0,52.0,47.0,35.0,32.0,21.0,23.0,31.0,15.0,16.0,11.0,13.0,4.0,7.0,7.0,4.0,6.0,4.0,2.0,3.0,3.0,3.0
307.6,22.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,
307.7,28.0,2.0,13.0,6.0,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,,,,
307.80,210.0,8.0,4.0,5.0,10.0,8.0,15.0,11.0,14.0,19.0,12.0,11.0,12.0,14.0,15.0,9.0,9.0,4.0,4.0,8.0,3.0,1.0,4.0,5.0,2.0,3.0
307.81,2025.0,109.0,100.0,202.0,246.0,246.0,197.0,206.0,124.0,117.0,101.0,76.0,54.0,51.0,35.0,29.0,21.0,20.0,18.0,13.0,15.0,13.0,9.0,10.0,6.0,7.0
307.89,428.0,,28.0,42.0,45.0,41.0,34.0,31.0,30.0,23.0,21.0,15.0,12.0,18.0,10.0,8.0,14.0,10.0,9.0,11.0,8.0,6.0,7.0,1.0,3.0,1.0
307.9,6440.0,108.0,88.0,185.0,285.0,357.0,355.0,388.0,410.0,382.0,420.0,363.0,342.0,353.0,301.0,289.0,284.0,260.0,225.0,191.0,199.0,175.0,129.0,129.0,119.0,103.0
308.0,431.0,40.0,40.0,39.0,45.0,40.0,37.0,26.0,26.0,16.0,20.0,17.0,19.0,11.0,9.0,9.0,7.0,8.0,9.0,1.0,3.0,,2.0,3.0,2.0,2.0
308.1,52.0,,1.0,4.0,2.0,6.0,5.0,2.0,3.0,4.0,5.0,,4.0,5.0,3.0,3.0,3.0,1.0,1.0,,,,,,,
308.2,152.0,1.0,15.0,21.0,15.0,20.0,13.0,8.0,10.0,8.0,4.0,4.0,5.0,3.0,3.0,4.0,8.0,4.0,2.0,,1.0,2.0,,1.0,,
308.3,369.0,44.0,29.0,35.0,24.0,32.0,17.0,25.0,23.0,22.0,15.0,12.0,10.0,15.0,14.0,7.0,5.0,6.0,4.0,10.0,6.0,3.0,3.0,3.0,3.0,2.0
308.4,12.0,2.0,,2.0,1.0,1.0,,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,,
308.9,1348.0,52.0,86.0,113.0,144.0,133.0,123.0,113.0,85.0,81.0,62.0,77.0,50.0,38.0,43.0,34.0,27.0,20.0,18.0,6.0,11.0,8.0,8.0,7.0,4.0,5.0
309.0,4105.0,859.0,125.0,192.0,193.0,190.0,207.0,211.0,219.0,220.0,196.0,176.0,183.0,160.0,126.0,140.0,108.0,99.0,80.0,87.0,88.0,67.0,49.0,48.0,38.0,44.0
309.1,76.0,4.0,2.0,5.0,2.0,5.0,5.0,10.0,3.0,7.0,5.0,3.0,1.0,3.0,4.0,2.0,2.0,,4.0,,,1.0,1.0,2.0,3.0,2.0
309.21,65.0,7.0,9.0,13.0,6.0,9.0,7.0,5.0,1.0,,,1.0,2.0,,1.0,2.0,1.0,1.0,,,,,,,,
309.22,2.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,
309.23,5.0,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,
309.24,1307.0,74.0,50.0,75.0,75.0,72.0,81.0,97.0,96.0,99.0,64.0,85.0,58.0,63.0,43.0,42.0,48.0,33.0,28.0,30.0,24.0,22.0,15.0,13.0,12.0,8.0
309.28,3059.0,340.0,92.0,158.0,225.0,193.0,211.0,179.0,174.0,172.0,160.0,144.0,126.0,123.0,107.0,103.0,86.0,84.0,80.0,58.0,57.0,52.0,41.0,40.0,36.0,18.0
309.29,13.0,5.0,1.0,,,,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,,,,,,,,,
309.3,222.0,108.0,24.0,26.0,13.0,9.0,5.0,6.0,4.0,4.0,6.0,1.0,4.0,2.0,1.0,4.0,1.0,,1.0,1.0,,,1.0,,1.0,
309.4,1180.0,636.0,60.0,77.0,63.0,35.0,38.0,49.0,31.0,35.0,25.0,16.0,17.0,14.0,18.0,10.0,13.0,11.0,7.0,3.0,5.0,3.0,7.0,4.0,1.0,2.0
309.81,21828.0,732.0,2526.0,3341.0,2439.0,1988.0,1666.0,1537.0,1244.0,1123.0,958.0,810.0,685.0,533.0,472.0,333.0,270.0,239.0,226.0,175.0,143.0,105.0,89.0,79.0,60.0,55.0
309.82,9.0,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,
309.83,7.0,,1.0,,2.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,
309.89,264.0,55.0,18.0,21.0,13.0,15.0,12.0,17.0,11.0,17.0,6.0,18.0,8.0,8.0,6.0,5.0,8.0,6.0,7.0,4.0,3.0,3.0,,1.0,2.0,
309.9,2291.0,333.0,83.0,158.0,123.0,139.0,113.0,118.0,132.0,139.0,111.0,105.0,115.0,96.0,90.0,61.0,64.0,62.0,48.0,39.0,41.0,30.0,28.0,31.0,17.0,15.0
310.0,77.0,5.0,4.0,11.0,5.0,6.0,2.0,13.0,4.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,,3.0,1.0,,1.0,1.0
310.1,554.0,11.0,25.0,44.0,46.0,53.0,34.0,43.0,31.0,62.0,22.0,42.0,25.0,21.0,13.0,15.0,19.0,4.0,9.0,10.0,1.0,10.0,4.0,2.0,3.0,5.0
310.2,1452.0,246.0,243.0,160.0,167.0,114.0,78.0,70.0,52.0,52.0,41.0,37.0,24.0,29.0,24.0,20.0,16.0,14.0,15.0,5.0,6.0,11.0,8.0,11.0,5.0,4.0
310.81,181.0,3.0,8.0,5.0,11.0,6.0,13.0,12.0,12.0,12.0,10.0,19.0,8.0,8.0,12.0,3.0,6.0,11.0,3.0,3.0,5.0,5.0,3.0,2.0,1.0,
310.89,310.0,2.0,3.0,6.0,15.0,23.0,21.0,25.0,20.0,16.0,24.0,19.0,18.0,19.0,16.0,15.0,13.0,13.0,12.0,13.0,3.0,5.0,2.0,2.0,3.0,2.0
310.9,1944.0,10.0,12.0,24.0,41.0,61.0,87.0,116.0,174.0,158.0,141.0,126.0,127.0,101.0,106.0,108.0,88.0,73.0,69.0,85.0,57.0,50.0,50.0,26.0,32.0,22.0
311.,177006.0,7569.0,4668.0,8767.0,11488.0,13228.0,14044.0,13824.0,13351.0,12228.0,11452.0,10380.0,9247.0,7979.0,6950.0,5981.0,5031.0,4311.0,3654.0,3025.0,2552.0,2093.0,1733.0,1420.0,1103.0,928.0
312.00,360.0,7.0,50.0,75.0,63.0,55.0,25.0,28.0,13.0,12.0,8.0,2.0,4.0,1.0,5.0,1.0,,3.0,1.0,3.0,,2.0,1.0,,1.0,
312.01,5.0,,,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,
312.03,7.0,,,,4.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
312.10,26.0,2.0,6.0,4.0,1.0,5.0,2.0,1.0,2.0,,,2.0,,,,,,,,,,,,1.0,,
312.20,3.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
312.23,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
312.30,1061.0,123.0,116.0,190.0,158.0,100.0,72.0,52.0,49.0,37.0,34.0,18.0,12.0,13.0,21.0,14.0,16.0,7.0,4.0,10.0,3.0,3.0,3.0,1.0,3.0,2.0
312.31,70.0,1.0,7.0,16.0,8.0,9.0,3.0,5.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,
312.32,11.0,,,3.0,3.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,
312.33,5.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,
312.34,1463.0,689.0,307.0,159.0,91.0,43.0,42.0,24.0,22.0,18.0,18.0,10.0,9.0,8.0,4.0,6.0,3.0,1.0,3.0,1.0,1.0,3.0,,,,1.0
312.35,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
312.39,240.0,3.0,23.0,36.0,40.0,42.0,21.0,22.0,11.0,8.0,6.0,7.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,,1.0,,2.0,2.0,1.0,
312.4,5.0,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,
312.81,39.0,7.0,10.0,7.0,6.0,1.0,,3.0,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,
312.82,30.0,5.0,3.0,6.0,4.0,3.0,1.0,,3.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,
312.89,387.0,20.0,33.0,60.0,51.0,50.0,39.0,27.0,17.0,21.0,11.0,8.0,4.0,9.0,7.0,6.0,4.0,7.0,3.0,1.0,1.0,4.0,2.0,,2.0,
312.9,1401.0,108.0,172.0,174.0,181.0,97.0,98.0,96.0,77.0,69.0,60.0,47.0,36.0,36.0,28.0,26.0,14.0,19.0,14.0,13.0,3.0,14.0,6.0,7.0,2.0,4.0
313.0,5.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,
313.21,6.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,
313.22,18.0,,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,,1.0,,,,1.0,,,,,,,
313.23,387.0,1.0,25.0,50.0,58.0,45.0,35.0,30.0,19.0,21.0,16.0,19.0,19.0,10.0,7.0,9.0,6.0,1.0,3.0,,5.0,3.0,2.0,2.0,1.0,
313.3,240.0,1.0,11.0,36.0,31.0,29.0,26.0,18.0,16.0,16.0,13.0,10.0,5.0,8.0,7.0,5.0,3.0,1.0,1.0,,1.0,1.0,,,,1.0
313.81,1329.0,103.0,249.0,396.0,218.0,133.0,65.0,48.0,33.0,21.0,19.0,11.0,13.0,2.0,3.0,5.0,1.0,2.0,4.0,3.0,,,,,,
313.82,6.0,,,2.0,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,
313.83,28.0,,2.0,2.0,1.0,2.0,6.0,2.0,2.0,5.0,2.0,2.0,,,1.0,,,,,,,,1.0,,,
313.89,134.0,7.0,38.0,48.0,25.0,12.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,
313.9,24.0,3.0,1.0,7.0,,1.0,5.0,2.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,
314.00,2544.0,3.0,179.0,320.0,359.0,298.0,267.0,243.0,202.0,129.0,127.0,102.0,73.0,48.0,36.0,42.0,32.0,16.0,18.0,14.0,7.0,8.0,7.0,7.0,1.0,6.0
314.01,13358.0,172.0,1641.0,2528.0,1998.0,1542.0,1268.0,951.0,753.0,588.0,451.0,368.0,251.0,202.0,142.0,108.0,88.0,68.0,55.0,47.0,29.0,33.0,33.0,16.0,17.0,9.0
314.1,9.0,,1.0,2.0,1.0,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,1.0
314.2,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
314.8,9.0,1.0,,1.0,4.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,
314.9,99.0,11.0,16.0,17.0,12.0,4.0,3.0,4.0,3.0,3.0,9.0,,1.0,3.0,2.0,,2.0,3.0,,1.0,,,3.0,1.0,1.0,
315.00,25.0,,1.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0
315.01,15.0,,3.0,,,2.0,1.0,3.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,,
315.02,25.0,,1.0,,3.0,6.0,2.0,,2.0,1.0,1.0,2.0,,2.0,,,1.0,1.0,,1.0,,,1.0,,,1.0
315.09,9.0,,1.0,,,,2.0,1.0,,2.0,,2.0,,,,,,,,,,1.0,,,,
315.1,16.0,,,2.0,2.0,4.0,3.0,,2.0,,,,2.0,,,,,,,,1.0,,,,,
315.2,472.0,,38.0,61.0,79.0,72.0,38.0,36.0,29.0,18.0,23.0,18.0,12.0,6.0,11.0,4.0,8.0,6.0,7.0,3.0,1.0,,2.0,,,
315.31,530.0,6.0,56.0,70.0,59.0,57.0,65.0,52.0,33.0,24.0,22.0,19.0,17.0,8.0,12.0,5.0,7.0,3.0,3.0,4.0,3.0,2.0,2.0,,,1.0
315.32,159.0,,14.0,13.0,14.0,16.0,17.0,15.0,3.0,10.0,9.0,11.0,5.0,5.0,7.0,4.0,6.0,1.0,1.0,4.0,,2.0,1.0,1.0,,
315.34,15.0,,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,
315.35,69.0,1.0,3.0,5.0,11.0,6.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,5.0,1.0,3.0,2.0,3.0,2.0,,,,1.0,3.0,1.0,2.0
315.39,1311.0,6.0,174.0,193.0,193.0,149.0,154.0,80.0,48.0,71.0,46.0,39.0,29.0,25.0,19.0,17.0,15.0,13.0,15.0,5.0,5.0,5.0,5.0,3.0,,2.0
315.4,495.0,1.0,32.0,46.0,46.0,68.0,47.0,28.0,38.0,31.0,38.0,20.0,21.0,8.0,18.0,12.0,12.0,8.0,2.0,4.0,2.0,6.0,3.0,,3.0,1.0
315.5,181.0,,5.0,13.0,20.0,18.0,13.0,22.0,17.0,14.0,9.0,11.0,12.0,6.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,,,1.0,
315.8,3857.0,6.0,305.0,379.0,460.0,420.0,334.0,342.0,289.0,241.0,195.0,170.0,149.0,128.0,84.0,87.0,68.0,48.0,46.0,19.0,21.0,20.0,19.0,11.0,9.0,7.0
315.9,4902.0,6.0,333.0,510.0,531.0,495.0,447.0,404.0,353.0,295.0,272.0,231.0,218.0,160.0,115.0,114.0,84.0,75.0,58.0,52.0,39.0,29.0,24.0,20.0,22.0,15.0
316.,177.0,14.0,10.0,8.0,12.0,11.0,13.0,9.0,9.0,10.0,5.0,6.0,17.0,11.0,11.0,4.0,6.0,6.0,1.0,2.0,2.0,4.0,2.0,2.0,,2.0
317.,1683.0,2.0,303.0,280.0,198.0,161.0,137.0,87.0,79.0,82.0,68.0,49.0,41.0,46.0,28.0,25.0,19.0,18.0,15.0,9.0,10.0,6.0,10.0,6.0,3.0,1.0
318.0,490.0,3.0,59.0,71.0,53.0,56.0,40.0,26.0,26.0,23.0,22.0,24.0,15.0,14.0,3.0,11.0,10.0,6.0,10.0,6.0,2.0,4.0,3.0,,1.0,2.0
318.1,1361.0,3.0,330.0,318.0,197.0,141.0,116.0,70.0,55.0,31.0,27.0,22.0,13.0,13.0,6.0,4.0,1.0,1.0,,1.0,3.0,3.0,,1.0,1.0,4.0
318.2,950.0,,147.0,197.0,177.0,137.0,92.0,57.0,50.0,29.0,25.0,16.0,7.0,6.0,5.0,4.0,1.0,,,,,,,,,
319.,6571.0,9.0,423.0,552.0,656.0,625.0,558.0,535.0,520.0,409.0,417.0,326.0,289.0,253.0,219.0,148.0,143.0,111.0,93.0,66.0,61.0,60.0,39.0,26.0,24.0,9.0
320.0,22.0,11.0,6.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
320.1,116.0,38.0,48.0,11.0,13.0,,4.0,1.0,,,,1.0,,,,,,,,,,,,,,
320.2,227.0,68.0,90.0,25.0,16.0,12.0,6.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,
320.3,119.0,9.0,47.0,25.0,13.0,8.0,5.0,5.0,4.0,2.0,,,1.0,,,,,,,,,,,,,
320.7,24.0,1.0,12.0,5.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
320.81,26.0,9.0,10.0,1.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
320.82,172.0,30.0,54.0,23.0,23.0,19.0,2.0,8.0,7.0,5.0,1.0,,,,,,,,,,,,,,,
320.89,55.0,15.0,16.0,6.0,9.0,3.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,
320.9,403.0,156.0,110.0,55.0,29.0,20.0,11.0,8.0,4.0,2.0,2.0,2.0,,1.0,1.0,,2.0,,,,,,,,,
321.0,431.0,3.0,244.0,104.0,40.0,14.0,8.0,6.0,5.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,
321.1,38.0,,19.0,8.0,5.0,2.0,,1.0,,,,2.0,,,,,,,,1.0,,,,,,
321.2,92.0,1.0,46.0,15.0,8.0,9.0,7.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,
321.4,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
321.8,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
322.0,35.0,16.0,11.0,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,
322.1,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
322.2,51.0,9.0,16.0,11.0,4.0,3.0,3.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,
322.9,1145.0,250.0,386.0,111.0,121.0,93.0,50.0,34.0,29.0,27.0,16.0,12.0,5.0,1.0,6.0,,1.0,,2.0,1.0,,,,,,
323.01,59.0,,20.0,11.0,11.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,
323.1,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
323.41,30.0,,10.0,5.0,6.0,4.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,
323.42,5.0,,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
323.51,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
323.52,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
323.61,101.0,6.0,67.0,15.0,2.0,2.0,1.0,3.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,
323.62,20.0,,13.0,4.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,
323.63,4.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
323.71,6.0,1.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,
323.72,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
323.81,433.0,132.0,167.0,42.0,28.0,15.0,10.0,7.0,5.0,6.0,6.0,3.0,2.0,4.0,2.0,1.0,1.0,,1.0,,,,,1.0,,
323.82,559.0,132.0,256.0,59.0,36.0,28.0,14.0,18.0,7.0,5.0,,,2.0,,2.0,,,,,,,,,,,
323.9,827.0,231.0,268.0,112.0,67.0,55.0,29.0,24.0,13.0,9.0,7.0,1.0,4.0,,1.0,,1.0,3.0,,1.0,1.0,,,,,
324.0,654.0,238.0,235.0,62.0,38.0,30.0,26.0,9.0,5.0,,3.0,1.0,2.0,,3.0,,,2.0,,,,,,,,
324.1,1482.0,367.0,687.0,193.0,105.0,68.0,29.0,13.0,6.0,7.0,3.0,1.0,1.0,,,1.0,,,,,1.0,,,,,
324.9,165.0,24.0,81.0,21.0,27.0,3.0,3.0,2.0,2.0,1.0,,,,,,,,1.0,,,,,,,,
