ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
008.5,313.0,136.0,44.0,35.0,20.0,26.0,12.0,12.0,7.0,5.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,
008.61,481.0,296.0,86.0,33.0,14.0,15.0,11.0,9.0,7.0,2.0,2.0,2.0,,1.0,,1.0,,1.0,,,1.0,,,,,
008.62,72.0,28.0,7.0,5.0,6.0,2.0,6.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,,,,,,,,
008.63,204.0,64.0,25.0,15.0,13.0,18.0,17.0,10.0,15.0,10.0,5.0,3.0,3.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,
008.64,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
008.65,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
008.66,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
008.67,49.0,18.0,10.0,3.0,4.0,7.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,,,,
008.69,267.0,49.0,19.0,29.0,25.0,19.0,27.0,23.0,13.0,14.0,7.0,8.0,6.0,6.0,6.0,2.0,5.0,1.0,,4.0,,1.0,1.0,,2.0,
008.8,7438.0,3312.0,1038.0,559.0,434.0,347.0,324.0,281.0,206.0,198.0,148.0,101.0,84.0,93.0,54.0,47.0,41.0,32.0,31.0,28.0,12.0,17.0,14.0,16.0,12.0,9.0
009.0,2411.0,1209.0,368.0,214.0,143.0,74.0,103.0,81.0,57.0,61.0,28.0,25.0,16.0,12.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,,,,,1.0
009.1,408.0,211.0,59.0,34.0,23.0,15.0,12.0,9.0,11.0,14.0,9.0,3.0,1.0,3.0,1.0,,,,2.0,,,1.0,,,,
009.2,362.0,122.0,67.0,49.0,22.0,16.0,18.0,13.0,15.0,13.0,11.0,5.0,6.0,2.0,1.0,1.0,,,,,1.0,,,,,
009.3,103.0,30.0,19.0,4.0,8.0,8.0,8.0,8.0,5.0,3.0,4.0,2.0,,,,,1.0,3.0,,,,,,,,
010.00,4.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
010.12,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
010.13,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
010.14,3.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
010.80,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
010.83,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
010.85,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
010.86,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
010.90,5.0,1.0,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,
010.93,3.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
010.94,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
010.96,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
011.00,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
011.03,6.0,4.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
011.04,3.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
011.06,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
011.10,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
011.11,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
011.12,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
